experiment,fault_param,fault_param_name,fault_param_val,trefi,trefi_val,ber,ppl,ppl_is_infinite,ppl_is_nan,tres_hours,temp_c,seed
fault_llama_bf16_bitwise16_bit16-0_bersem-independent_lpddr5_Vendor-A_trefi256_tres1h_T45_ber-2.444378033317207e-12_seed-42,bit16-0,bit16,0,trefi256,256,2.444378033317207e-12,12.89646772829322,False,False,1.0,45.0,42
fault_llama_bf16_bitwise16_bit16-1_bersem-independent_lpddr5_Vendor-A_trefi256_tres1h_T45_ber-2.444378033317207e-12_seed-42,bit16-1,bit16,1,trefi256,256,2.444378033317207e-12,12.896976978596323,False,False,1.0,45.0,42
fault_llama_bf16_bitwise16_bit16-2_bersem-independent_lpddr5_Vendor-A_trefi256_tres1h_T45_ber-2.444378033317207e-12_seed-42,bit16-2,bit16,2,trefi256,256,2.444378033317207e-12,12.895083535044176,False,False,1.0,45.0,42
fault_llama_bf16_bitwise16_bit16-3_bersem-independent_lpddr5_Vendor-A_trefi256_tres1h_T45_ber-2.444378033317207e-12_seed-42,bit16-3,bit16,3,trefi256,256,2.444378033317207e-12,12.895541103243573,False,False,1.0,45.0,42
fault_llama_bf16_bitwise16_bit16-4_bersem-independent_lpddr5_Vendor-A_trefi256_tres1h_T45_ber-2.444378033317207e-12_seed-42,bit16-4,bit16,4,trefi256,256,2.444378033317207e-12,12.896511490858213,False,False,1.0,45.0,42
fault_llama_bf16_bitwise16_bit16-5_bersem-independent_lpddr5_Vendor-A_trefi256_tres1h_T45_ber-2.444378033317207e-12_seed-42,bit16-5,bit16,5,trefi256,256,2.444378033317207e-12,12.89449156644604,False,False,1.0,45.0,42
fault_llama_bf16_bitwise16_bit16-6_bersem-independent_lpddr5_Vendor-A_trefi256_tres1h_T45_ber-2.444378033317207e-12_seed-42,bit16-6,bit16,6,trefi256,256,2.444378033317207e-12,12.896610209274746,False,False,1.0,45.0,42
fault_llama_bf16_bitwise16_bit16-7_bersem-independent_lpddr5_Vendor-A_trefi256_tres1h_T45_ber-2.444378033317207e-12_seed-42,bit16-7,bit16,7,trefi256,256,2.444378033317207e-12,12.896569268773579,False,False,1.0,45.0,42
fault_llama_bf16_bitwise16_bit16-8_bersem-independent_lpddr5_Vendor-A_trefi256_tres1h_T45_ber-2.444378033317207e-12_seed-42,bit16-8,bit16,8,trefi256,256,2.444378033317207e-12,12.896585680028052,False,False,1.0,45.0,42
fault_llama_bf16_bitwise16_bit16-9_bersem-independent_lpddr5_Vendor-A_trefi256_tres1h_T45_ber-2.444378033317207e-12_seed-42,bit16-9,bit16,9,trefi256,256,2.444378033317207e-12,12.898551241521488,False,False,1.0,45.0,42
fault_llama_bf16_bitwise16_bit16-10_bersem-independent_lpddr5_Vendor-A_trefi256_tres1h_T45_ber-2.444378033317207e-12_seed-42,bit16-10,bit16,10,trefi256,256,2.444378033317207e-12,13.00021275947873,False,False,1.0,45.0,42
fault_llama_bf16_bitwise16_bit16-11_bersem-independent_lpddr5_Vendor-A_trefi256_tres1h_T45_ber-2.444378033317207e-12_seed-42,bit16-11,bit16,11,trefi256,256,2.444378033317207e-12,12.894921210467407,False,False,1.0,45.0,42
fault_llama_bf16_bitwise16_bit16-12_bersem-independent_lpddr5_Vendor-A_trefi256_tres1h_T45_ber-2.444378033317207e-12_seed-42,bit16-12,bit16,12,trefi256,256,2.444378033317207e-12,12.896355832001092,False,False,1.0,45.0,42
fault_llama_bf16_bitwise16_bit16-13_bersem-independent_lpddr5_Vendor-A_trefi256_tres1h_T45_ber-2.444378033317207e-12_seed-42,bit16-13,bit16,13,trefi256,256,2.444378033317207e-12,12.896272235864458,False,False,1.0,45.0,42
fault_llama_bf16_bitwise16_bit16-14_bersem-independent_lpddr5_Vendor-A_trefi256_tres1h_T45_ber-2.444378033317207e-12_seed-42,bit16-14,bit16,14,trefi256,256,2.444378033317207e-12,nan,False,True,1.0,45.0,42
fault_llama_bf16_bitwise16_bit16-15_bersem-independent_lpddr5_Vendor-A_trefi256_tres1h_T45_ber-2.444378033317207e-12_seed-42,bit16-15,bit16,15,trefi256,256,2.444378033317207e-12,12.896270881638829,False,False,1.0,45.0,42
fault_llama_bf16_bitwise16_bit16-0_bersem-independent_lpddr5_Vendor-A_trefi512_tres1h_T45_ber-2.96405122668375e-11_seed-42,bit16-0,bit16,0,trefi512,512,2.96405122668375e-11,12.895922096349802,False,False,1.0,45.0,42
fault_llama_bf16_bitwise16_bit16-1_bersem-independent_lpddr5_Vendor-A_trefi512_tres1h_T45_ber-2.96405122668375e-11_seed-42,bit16-1,bit16,1,trefi512,512,2.96405122668375e-11,12.897708524912545,False,False,1.0,45.0,42
fault_llama_bf16_bitwise16_bit16-2_bersem-independent_lpddr5_Vendor-A_trefi512_tres1h_T45_ber-2.96405122668375e-11_seed-42,bit16-2,bit16,2,trefi512,512,2.96405122668375e-11,12.894953396439247,False,False,1.0,45.0,42
fault_llama_bf16_bitwise16_bit16-3_bersem-independent_lpddr5_Vendor-A_trefi512_tres1h_T45_ber-2.96405122668375e-11_seed-42,bit16-3,bit16,3,trefi512,512,2.96405122668375e-11,12.895580370703609,False,False,1.0,45.0,42
fault_llama_bf16_bitwise16_bit16-4_bersem-independent_lpddr5_Vendor-A_trefi512_tres1h_T45_ber-2.96405122668375e-11_seed-42,bit16-4,bit16,4,trefi512,512,2.96405122668375e-11,12.89646096035649,False,False,1.0,45.0,42
fault_llama_bf16_bitwise16_bit16-5_bersem-independent_lpddr5_Vendor-A_trefi512_tres1h_T45_ber-2.96405122668375e-11_seed-42,bit16-5,bit16,5,trefi512,512,2.96405122668375e-11,12.894470024151957,False,False,1.0,45.0,42
fault_llama_bf16_bitwise16_bit16-6_bersem-independent_lpddr5_Vendor-A_trefi512_tres1h_T45_ber-2.96405122668375e-11_seed-42,bit16-6,bit16,6,trefi512,512,2.96405122668375e-11,12.896199971800744,False,False,1.0,45.0,42
fault_llama_bf16_bitwise16_bit16-7_bersem-independent_lpddr5_Vendor-A_trefi512_tres1h_T45_ber-2.96405122668375e-11_seed-42,bit16-7,bit16,7,trefi512,512,2.96405122668375e-11,12.895106679437545,False,False,1.0,45.0,42
fault_llama_bf16_bitwise16_bit16-8_bersem-independent_lpddr5_Vendor-A_trefi512_tres1h_T45_ber-2.96405122668375e-11_seed-42,bit16-8,bit16,8,trefi512,512,2.96405122668375e-11,12.896171259410938,False,False,1.0,45.0,42
