experiment,fault_param,fault_param_name,fault_param_val,trefi,trefi_val,ber,ppl,ppl_is_infinite,ppl_is_nan,baseline_ppl,tres_hours,temp_c,seed
fault_llama_bf16_bitwise16_bit16-0_bersem-independent_lpddr5_Vendor-A_trefi4096_tres1h_T45_ber-0.0001676406857499257_seed-42,bit16-0,bit16,0,trefi4096,4096,0.0001676406857499257,12.89643149304539,False,False,12.896273147645108,1.0,45.0,42
fault_llama_bf16_bitwise16_bit16-1_bersem-independent_lpddr5_Vendor-A_trefi4096_tres1h_T45_ber-0.0001676406857499257_seed-42,bit16-1,bit16,1,trefi4096,4096,0.0001676406857499257,12.896125755564265,False,False,12.896273147645108,1.0,45.0,42
fault_llama_bf16_bitwise16_bit16-2_bersem-independent_lpddr5_Vendor-A_trefi4096_tres1h_T45_ber-0.0001676406857499257_seed-42,bit16-2,bit16,2,trefi4096,4096,0.0001676406857499257,12.896553736453967,False,False,12.896273147645108,1.0,45.0,42
fault_llama_bf16_bitwise16_bit16-3_bersem-independent_lpddr5_Vendor-A_trefi4096_tres1h_T45_ber-0.0001676406857499257_seed-42,bit16-3,bit16,3,trefi4096,4096,0.0001676406857499257,12.898550883544125,False,False,12.896273147645108,1.0,45.0,42
fault_llama_bf16_bitwise16_bit16-4_bersem-independent_lpddr5_Vendor-A_trefi4096_tres1h_T45_ber-0.0001676406857499257_seed-42,bit16-4,bit16,4,trefi4096,4096,0.0001676406857499257,12.896130699743244,False,False,12.896273147645108,1.0,45.0,42
fault_llama_bf16_bitwise16_bit16-5_bersem-independent_lpddr5_Vendor-A_trefi4096_tres1h_T45_ber-0.0001676406857499257_seed-42,bit16-5,bit16,5,trefi4096,4096,0.0001676406857499257,12.898017862679403,False,False,12.896273147645108,1.0,45.0,42
fault_llama_bf16_bitwise16_bit16-6_bersem-independent_lpddr5_Vendor-A_trefi4096_tres1h_T45_ber-0.0001676406857499257_seed-42,bit16-6,bit16,6,trefi4096,4096,0.0001676406857499257,12.900418228109592,False,False,12.896273147645108,1.0,45.0,42
fault_llama_bf16_bitwise16_bit16-7_bersem-independent_lpddr5_Vendor-A_trefi4096_tres1h_T45_ber-0.0001676406857499257_seed-42,bit16-7,bit16,7,trefi4096,4096,0.0001676406857499257,12.917699548172978,False,False,12.896273147645108,1.0,45.0,42
fault_llama_bf16_bitwise16_bit16-8_bersem-independent_lpddr5_Vendor-A_trefi4096_tres1h_T45_ber-0.0001676406857499257_seed-42,bit16-8,bit16,8,trefi4096,4096,0.0001676406857499257,13.110804344765636,False,False,12.896273147645108,1.0,45.0,42
fault_llama_bf16_bitwise16_bit16-9_bersem-independent_lpddr5_Vendor-A_trefi4096_tres1h_T45_ber-0.0001676406857499257_seed-42,bit16-9,bit16,9,trefi4096,4096,0.0001676406857499257,23.54102401367266,False,False,12.896273147645108,1.0,45.0,42
fault_llama_bf16_bitwise16_bit16-10_bersem-independent_lpddr5_Vendor-A_trefi4096_tres1h_T45_ber-0.0001676406857499257_seed-42,bit16-10,bit16,10,trefi4096,4096,0.0001676406857499257,6731760886.608615,False,False,12.896273147645108,1.0,45.0,42
fault_llama_bf16_bitwise16_bit16-11_bersem-independent_lpddr5_Vendor-A_trefi4096_tres1h_T45_ber-0.0001676406857499257_seed-42,bit16-11,bit16,11,trefi4096,4096,0.0001676406857499257,1703.667088701479,False,False,12.896273147645108,1.0,45.0,42
fault_llama_bf16_bitwise16_bit16-12_bersem-independent_lpddr5_Vendor-A_trefi4096_tres1h_T45_ber-0.0001676406857499257_seed-42,bit16-12,bit16,12,trefi4096,4096,0.0001676406857499257,12.924967345586602,False,False,12.896273147645108,1.0,45.0,42
fault_llama_bf16_bitwise16_bit16-13_bersem-independent_lpddr5_Vendor-A_trefi4096_tres1h_T45_ber-0.0001676406857499257_seed-42,bit16-13,bit16,13,trefi4096,4096,0.0001676406857499257,12.924938878599278,False,False,12.896273147645108,1.0,45.0,42
fault_llama_bf16_bitwise16_bit16-14_bersem-independent_lpddr5_Vendor-A_trefi4096_tres1h_T45_ber-0.0001676406857499257_seed-42,bit16-14,bit16,14,trefi4096,4096,0.0001676406857499257,NaN,False,True,12.896273147645108,1.0,45.0,42
fault_llama_bf16_bitwise16_bit16-15_bersem-independent_lpddr5_Vendor-A_trefi4096_tres1h_T45_ber-0.0001676406857499257_seed-42,bit16-15,bit16,15,trefi4096,4096,0.0001676406857499257,13.026596336494771,False,False,12.896273147645108,1.0,45.0,42
