experiment,fault_param,fault_param_name,fault_param_val,trefi,trefi_val,ber,ppl,ppl_is_infinite,ppl_is_nan,tres_hours,temp_c,seed
fault_llama_fp16_bitwise16_bit16-0_bersem-independent_lpddr5_Vendor-A_trefi1024_tres1h_T45_ber-1.691618138677242e-06_seed-42,bit16-0,bit16,0,trefi1024,1024,1.691618138677242e-06,12.88547430826038,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-1_bersem-independent_lpddr5_Vendor-A_trefi1024_tres1h_T45_ber-1.691618138677242e-06_seed-42,bit16-1,bit16,1,trefi1024,1024,1.691618138677242e-06,12.885535752011487,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-2_bersem-independent_lpddr5_Vendor-A_trefi1024_tres1h_T45_ber-1.691618138677242e-06_seed-42,bit16-2,bit16,2,trefi1024,1024,1.691618138677242e-06,12.885340817588325,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-3_bersem-independent_lpddr5_Vendor-A_trefi1024_tres1h_T45_ber-1.691618138677242e-06_seed-42,bit16-3,bit16,3,trefi1024,1024,1.691618138677242e-06,12.885417739724613,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-4_bersem-independent_lpddr5_Vendor-A_trefi1024_tres1h_T45_ber-1.691618138677242e-06_seed-42,bit16-4,bit16,4,trefi1024,1024,1.691618138677242e-06,12.885418403385373,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-5_bersem-independent_lpddr5_Vendor-A_trefi1024_tres1h_T45_ber-1.691618138677242e-06_seed-42,bit16-5,bit16,5,trefi1024,1024,1.691618138677242e-06,12.885290990655092,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-6_bersem-independent_lpddr5_Vendor-A_trefi1024_tres1h_T45_ber-1.691618138677242e-06_seed-42,bit16-6,bit16,6,trefi1024,1024,1.691618138677242e-06,12.885443141795841,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-7_bersem-independent_lpddr5_Vendor-A_trefi1024_tres1h_T45_ber-1.691618138677242e-06_seed-42,bit16-7,bit16,7,trefi1024,1024,1.691618138677242e-06,12.885283655277249,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-8_bersem-independent_lpddr5_Vendor-A_trefi1024_tres1h_T45_ber-1.691618138677242e-06_seed-42,bit16-8,bit16,8,trefi1024,1024,1.691618138677242e-06,12.885380538108983,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-9_bersem-independent_lpddr5_Vendor-A_trefi1024_tres1h_T45_ber-1.691618138677242e-06_seed-42,bit16-9,bit16,9,trefi1024,1024,1.691618138677242e-06,12.885424364950884,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-10_bersem-independent_lpddr5_Vendor-A_trefi1024_tres1h_T45_ber-1.691618138677242e-06_seed-42,bit16-10,bit16,10,trefi1024,1024,1.691618138677242e-06,12.885337568736146,False,False,1.0,45.0,42
fault_llama_fp16_bitwise16_bit16-11_bersem-independent_lpddr5_Vendor-A_trefi1024_tres1h_T45_ber-1.691618138677242e-06_seed-42,bit16-11,bit16,11,trefi1024,1024,1.691618138677242e-06,12.886448201401624,False,False,1.0,45.0,42
